country,Year,Poverty rate (no unit)
AUS,2012,0.129
AUS,2014,0.13
AUS,2016,0.125
AUS,2018,0.133
CAN,1976,0.143
CAN,1977,0.146
CAN,1978,0.139
CAN,1979,0.143
CAN,1980,0.144
CAN,1981,0.147
CAN,1982,0.154
CAN,1983,0.163
CAN,1984,0.167
CAN,1985,0.16
CAN,1986,0.152
CAN,1987,0.154
CAN,1988,0.143
CAN,1989,0.139
CAN,1990,0.159
CAN,1991,0.157
CAN,1992,0.155
CAN,1993,0.16
CAN,1994,0.15
CAN,1995,0.157
CAN,1996,0.169
CAN,1997,0.161
CAN,1998,0.161
CAN,1999,0.147
CAN,2000,0.15
CAN,2001,0.147
CAN,2002,0.154
CAN,2003,0.156
CAN,2004,0.166
CAN,2005,0.15
CAN,2006,0.162
CAN,2007,0.168
CAN,2008,0.156
CAN,2009,0.163
CAN,2010,0.157
CAN,2011,0.157
CAN,2012,0.168
CAN,2013,0.171
CAN,2014,0.15
CAN,2015,0.171
CAN,2016,0.142
CAN,2017,0.114
CAN,2018,0.118
CAN,2019,0.114
ISL,2004,0.059
ISL,2005,0.077
ISL,2006,0.064
ISL,2007,0.069
ISL,2008,0.058
ISL,2009,0.076
ISL,2010,0.078
ISL,2011,0.076
ISL,2012,0.081
ISL,2013,0.055
ISL,2014,0.073
ISL,2015,0.059
ISL,2016,0.065
ISL,2017,0.054
MEX,2012,0.227
MEX,2014,0.197
MEX,2016,0.198
MEX,2018,0.191
NZL,2011,0.14
NZL,2012,0.128
NZL,2014,0.141
NOR,2004,0.04
NOR,2008,0.055
NOR,2009,0.049
NOR,2010,0.051
NOR,2011,0.053
NOR,2012,0.059
NOR,2013,0.068
NOR,2014,0.072
NOR,2015,0.073
NOR,2016,0.077
NOR,2017,0.08
NOR,2018,0.081
NOR,2019,0.079
CHE,2006,0.11
CHE,2007,0.099
CHE,2008,0.097
CHE,2009,0.098
CHE,2010,0.093
CHE,2011,0.11
CHE,2012,0.08
CHE,2013,0.071
CHE,2014,0.099
CHE,2015,0.095
CHE,2016,0.109
CHE,2017,0.12
CHE,2018,0.108
GBR,2002,0.144
GBR,2003,0.141
GBR,2004,0.131
GBR,2005,0.138
GBR,2006,0.144
GBR,2007,0.141
GBR,2008,0.136
GBR,2009,0.121
GBR,2010,0.105
GBR,2011,0.102
GBR,2012,0.104
GBR,2013,0.099
GBR,2014,0.11
GBR,2015,0.112
GBR,2016,0.118
GBR,2017,0.129
GBR,2018,0.124
GBR,2019,0.141
USA,2013,0.205
USA,2014,0.202
USA,2015,0.199
USA,2016,0.209
USA,2017,0.212
USA,2018,0.211
USA,2019,0.21
ISR,2011,0.238
ISR,2012,0.245
ISR,2013,0.243
ISR,2014,0.243
ISR,2015,0.255
ISR,2016,0.232
ISR,2017,0.237
ISR,2018,0.222
KOR,2015,0.16
KOR,2016,0.152
KOR,2017,0.142
KOR,2018,0.123
CHL,2009,0.23
CHL,2011,0.253
CHL,2013,0.225
CHL,2015,0.211
CHL,2017,0.215
